"id_year","year","month","state","latitude","longitude","firespots"
am_1999,1999,1,AMAZONAS,-2.3711133,-59.899933,3
ma_1999,1999,1,MARANHAO,-2.2573948,-45.48783,36
ma_1999,1999,1,MATO GROSSO,-12.660633,-55.057987,18
pa_1999,1999,1,PARA,-2.4748204,-48.546967,87
ro_1999,1999,1,RONDONIA,-12.8617,-60.5131,1
ro_1999,1999,1,RORAIMA,3.4032247,-60.622852,15
am_1999,1999,2,AMAPA,-0.155,-52.6831,1
am_1999,1999,2,AMAZONAS,-2.763167,-63.429783,43
ma_1999,1999,2,MATO GROSSO,-12.6199875,-55.375362,8
pa_1999,1999,2,PARA,-2.1506174,-53.50991,285
ro_1999,1999,2,RONDONIA,-9.875,-62.5617,1
ro_1999,1999,2,RORAIMA,2.2562096,-61.07694,20
am_1999,1999,3,AMAPA,1.138335,-50.46155,2
am_1999,1999,3,AMAZONAS,-4.104806,-66.10142,7
ma_1999,1999,3,MARANHAO,-3.504865,-45.6928,4
ma_1999,1999,3,MATO GROSSO,-12.31615,-55.9678,4
pa_1999,1999,3,PARA,-5.0887713,-52.333344,7
ro_1999,1999,3,RONDONIA,-12.734113,-62.152664,8
ro_1999,1999,3,RORAIMA,2.1765897,-60.684208,98
am_1999,1999,4,AMAZONAS,-3.73306,-63.64585,2
ma_1999,1999,4,MATO GROSSO,-12.032898,-55.73238,43
pa_1999,1999,4,PARA,-6.3920865,-52.284016,6
ro_1999,1999,4,RONDONIA,-9.228073,-63.233265,3
ro_1999,1999,4,RORAIMA,2.7236311,-60.913742,16
ma_1999,1999,5,MATO GROSSO,-12.392257,-55.335175,441
pa_1999,1999,5,PARA,-5.5206976,-51.333576,4
ro_1999,1999,5,RONDONIA,-11.662633,-62.5489,3
to_1999,1999,5,TOCANTINS,-7.02806,-49.1731,1
am_1999,1999,6,AMAPA,0.399165,-52.46905,2
am_1999,1999,6,AMAZONAS,-2.0875413,-64.482925,7
ma_1999,1999,6,MARANHAO,-4.91306,-46.9517,1
ma_1999,1999,6,MATO GROSSO,-12.035947,-55.353718,1376
pa_1999,1999,6,PARA,-4.9392366,-49.51913,37
ro_1999,1999,6,RONDONIA,-12.19663,-60.82178,10
ro_1999,1999,6,RORAIMA,1.24602,-60.3689,3
to_1999,1999,6,TOCANTINS,-7.751577,-49.143265,3
ac_1999,1999,7,ACRE,-8.17,-72.59,1
am_1999,1999,7,AMAZONAS,-6.943261,-60.500828,11
ma_1999,1999,7,MARANHAO,-4.6019597,-46.97331,44
ma_1999,1999,7,MATO GROSSO,-11.626068,-56.15779,2473
pa_1999,1999,7,PARA,-6.464225,-51.788406,982
ro_1999,1999,7,RONDONIA,-11.239553,-61.90891,135
ro_1999,1999,7,RORAIMA,3.2032676,-60.920727,4
to_1999,1999,7,TOCANTINS,-7.094614,-48.325108,25
ac_1999,1999,8,ACRE,-9.864001,-67.911736,67
am_1999,1999,8,AMAZONAS,-7.310984,-60.86655,255
ma_1999,1999,8,MARANHAO,-4.4893394,-46.713425,186
ma_1999,1999,8,MATO GROSSO,-11.358813,-56.22813,12707
pa_1999,1999,8,PARA,-7.077542,-51.44166,6179
ro_1999,1999,8,RONDONIA,-11.328998,-62.247684,1976
ro_1999,1999,8,RORAIMA,2.975,-61.1131,1
to_1999,1999,8,TOCANTINS,-7.3853364,-48.688465,154
ac_1999,1999,9,ACRE,-9.829269,-68.230804,212
am_1999,1999,9,AMAPA,0.6145175,-51.110725,4
am_1999,1999,9,AMAZONAS,-8.000526,-64.04519,214
ma_1999,1999,9,MARANHAO,-4.3097153,-46.40407,375
ma_1999,1999,9,MATO GROSSO,-11.958582,-56.094234,7357
pa_1999,1999,9,PARA,-6.5130253,-50.22556,4417
ro_1999,1999,9,RONDONIA,-11.38077,-62.435364,3059
ro_1999,1999,9,RORAIMA,3.76991,-60.4866,3
to_1999,1999,9,TOCANTINS,-7.1597557,-48.584866,465
ac_1999,1999,10,ACRE,-9.577298,-68.86786,63
am_1999,1999,10,AMAPA,1.0229136,-51.242004,25
am_1999,1999,10,AMAZONAS,-3.8395712,-61.112465,476
ma_1999,1999,10,MARANHAO,-4.493401,-46.53391,1446
ma_1999,1999,10,MATO GROSSO,-12.021768,-56.22078,3648
pa_1999,1999,10,PARA,-4.338487,-50.86213,5026
ro_1999,1999,10,RONDONIA,-10.655392,-62.66326,1884
ro_1999,1999,10,RORAIMA,2.373279,-60.29556,10
to_1999,1999,10,TOCANTINS,-6.689083,-48.573277,216
ac_1999,1999,11,ACRE,-8.199865,-70.14323,4
am_1999,1999,11,AMAPA,1.456497,-51.4957,26
am_1999,1999,11,AMAZONAS,-3.2991393,-62.190704,28
ma_1999,1999,11,MARANHAO,-3.6824763,-46.13805,1203
ma_1999,1999,11,MATO GROSSO,-12.299734,-57.837177,445
pa_1999,1999,11,PARA,-3.0779705,-49.79443,2682
ro_1999,1999,11,RONDONIA,-11.913575,-62.008816,41
ro_1999,1999,11,RORAIMA,1.9212427,-59.94434,15
to_1999,1999,11,TOCANTINS,-6.024224,-48.22436,5
am_1999,1999,12,AMAPA,0.4745868,-51.43989,41
am_1999,1999,12,AMAZONAS,-2.80653,-61.3717,2
ma_1999,1999,12,MARANHAO,-2.5771198,-45.661613,841
ma_1999,1999,12,MATO GROSSO,-13.993356,-58.67889,18
pa_1999,1999,12,PARA,-2.7467802,-49.797398,766
ro_1999,1999,12,RORAIMA,1.9247234,-60.125237,35
am_2000,2000,1,AMAPA,-0.935,-52.2642,2
am_2000,2000,1,AMAZONAS,-4.9563127,-63.955658,7
ma_2000,2000,1,MARANHAO,-3.5771594,-46.40109,17
ma_2000,2000,1,MATO GROSSO,-13.4545,-56.93849,13
pa_2000,2000,1,PARA,-2.5552244,-48.85874,30
ro_2000,2000,1,RORAIMA,3.6530433,-60.19976,18
am_2000,2000,2,AMAZONAS,-3.0155983,-62.3967,62
ma_2000,2000,2,MARANHAO,-3.00991,-45.857235,3
ma_2000,2000,2,MATO GROSSO,-12.554244,-55.226517,25
pa_2000,2000,2,PARA,-3.4310563,-52.689533,29
ro_2000,2000,2,RONDONIA,-12.21855,-61.697666,6
ro_2000,2000,2,RORAIMA,2.7865326,-60.686714,57
ac_2000,2000,3,ACRE,-9.445561,-71.240036,11
am_2000,2000,3,AMAZONAS,-3.114922,-62.911034,69
ma_2000,2000,3,MATO GROSSO,-12.22753,-54.32358,10
pa_2000,2000,3,PARA,-3.691695,-51.404366,181
ro_2000,2000,3,RONDONIA,-11.245878,-63.82321,9
ro_2000,2000,3,RORAIMA,2.5943224,-60.654583,125
ac_2000,2000,4,ACRE,-8.46306,-70.325,1
am_2000,2000,4,AMAZONAS,-2.530095,-62.546665,18
ma_2000,2000,4,MARANHAO,-2.99653,-45.71835,2
ma_2000,2000,4,MATO GROSSO,-12.536299,-55.383877,31
pa_2000,2000,4,PARA,-4.6037316,-51.906174,40
ac_2000,2000,5,ACRE,-8.17167,-70.95667,1
am_2000,2000,5,AMAZONAS,-6.1656537,-63.000423,51
ma_2000,2000,5,MATO GROSSO,-12.053627,-55.522243,840
pa_2000,2000,5,PARA,-4.784306,-53.155697,12
ro_2000,2000,5,RONDONIA,-12.045889,-60.888668,15
ro_2000,2000,5,RORAIMA,3.1721442,-60.98714,7
to_2000,2000,5,TOCANTINS,-6.799165,-48.43833,4
ac_2000,2000,6,ACRE,-10.115,-67.6731,1
am_2000,2000,6,AMAZONAS,-2.8040767,-66.74077,6
ma_2000,2000,6,MARANHAO,-4.7299223,-47.11845,31
ma_2000,2000,6,MATO GROSSO,-11.850191,-55.492588,3049
pa_2000,2000,6,PARA,-7.712625,-50.591824,59
ro_2000,2000,6,RONDONIA,-11.334088,-61.50767,54
