"start year","end year","phenomenon","severity","value_severity"
2004,2005,El Nino,Weak,1
2006,2007,El Nino,Weak,1
2014,2015,El Nino,Weak,1
2018,2019,El Nino,Weak,1
2002,2003,El Nino,Moderate,2
2009,2010,El Nino,Moderate,2
2015,2016,El Nino,Very Strong,4
2000,2001,La Nina,Weak,1
2005,2006,La Nina,Weak,1
2008,2009,La Nina,Weak,1
2016,2017,La Nina,Weak,1
2017,2018,La Nina,Weak,1
2011,2012,La Nina,Moderate,2
1999,2000,La Nina,Strong,3
2007,2008,La Nina,Strong,3
2010,2011,La Nina,Strong,3
